year,hhid,plot_area,sr_yield,cc_yield,,
2,101,0.098254,381.2219,74.38139,,
1,101,0.084878,3197.471,2818.802,,
2,102,0.31211,883.2995,188.5305,,
1,102,0.049807,1507.458,228.8318,,
1,103,0.020747,2442.573,2619.634,,
2,103,0.11405,2137.176,1848.827,,
1,104,0.091843,337.1013,1356.184,,
2,104,0.133263,1103.817,2175.352,,
2,105,0.32666,238.4118,90.87553,,
1,105,0.06427,1927.584,1067.53,,
2,108,0.16385,181.5548,734.1163,,
1,108,0.3721,180.1591,1662.716,,
1,109,0.096277,1608.843,1066.182,,
2,109,0.090754,1199.051,2287.041,,
1,111,0.093112,3518.443,391.1415,,
2,111,0.19602,647.9376,300.6902,,
2,112,0.15478,327.8936,1063.104,,
1,112,0.13603,422.8672,20.68636,,
1,113,0.21036,1134.863,1581.114,,
2,113,0.058157,1159.263,1811.58,,
2,201,0.15457,1032.719,1215.963,,
1,201,0.32055,784.8062,2325.74,,
2,202,0.11918,807.996,1249.621,,
1,202,0.021892,7894.678,3926,,
2,203,0.46089,898.1049,945.5071,,
1,203,0.15992,1944.282,1002.641,,
1,204,0.19012,449.1983,4095.158,,
2,204,0.04255,6932.326,852.1619,,
2,207,0.46824,433.0504,563.0781,,
1,207,0.096377,604.3943,699.6727,,
1,208,0.4167,2170.244,1602.804,,
2,208,0.46696,759.9444,1213.059,,
1,209,0.033951,4384.522,1286.175,,
2,209,0.095225,1869.248,498.4622,,
1,211,0.30944,1638.113,1787.122,,
2,211,0.29993,693.6993,940.7898,,
1,212,0.037915,1531.394,1692.344,,
2,212,0.037164,634.734,392.8727,,
1,219,0.18754,2770.733,3277.179,,
2,219,0.16185,997.6832,1072.03,,
2,302,0.15831,1542.169,1888.665,,
1,302,0.28243,2228.72,1965.053,,
2,303,0.2259,685.8401,629.7216,,
1,303,0.32264,3134.356,1373.878,,
2,307,0.32499,1296.128,496.2596,,
1,307,0.16646,798.5003,498.1529,,
1,308,0.061204,512.5807,1762.859,,
2,308,0.053719,2246.906,1187.702,,
1,309,0.070261,732.4826,820.7682,,
2,309,0.079397,85.907,155.6088,,
1,310,0.18592,1087.429,1972.894,,
2,310,0.060502,1024.344,349.3482,,
2,311,0.043973,1268.014,393.9713,,
1,311,0.043855,162.7729,317.8886,,
1,404,0.062468,529.2055,564.9387,,
2,404,0.088343,199.0147,478.5898,,
1,409,0.036167,1035.891,2646.825,,
2,409,0.014002,20.249,55.0923,,
2,410,0.18044,477.4834,748.0245,,
1,410,0.07389,1838.677,1024.958,,
2,415,0.065109,8.516582,61.32936,,
1,415,0.21812,286.8777,1885.203,,
1,423,0.10993,1161.01,697.8455,,
2,423,0.066606,235.5664,163.6236,,
1,501,0.78687,1751.882,2795.532,,
2,501,0.12482,1815.572,1245.07,,
2,502,0.1162,166.4415,547.5254,,
1,502,0.064287,4.567742,117.3815,,
2,503,0.2775,590.1881,1130.379,,
1,503,0.86427,1089.944,284.4386,,
1,504,0.47898,1352.081,2221.094,,
2,504,0.24297,929.2452,830.3526,,
2,508,0.021945,853.9905,236.4176,,
1,508,0.14443,1683.264,915.2062,,
1,511,0.1685,1440.43,1861.294,,
2,511,0.16422,1012.746,589.2706,,
1,519,0.083266,2028.297,1222.661,,
2,519,0.54,179.5943,216.8074,,
2,521,0.12378,17.03868,71.08807,,
1,521,0.13582,2817.217,1181.472,,
2,523,0.037044,32.63282,32.09393,,
1,523,0.041987,6001.951,720.2346,,
1,604,0.12744,2940.268,787.3375,,
2,604,0.3295,485.5547,42.87997,,
1,605,0.26257,788.1921,842.6147,,
2,605,0.13287,343.5439,638.9543,,
1,609,0.090103,2308.23,1394.188,,
2,609,0.1871,2105.032,703.9171,,
2,611,0.7178,15.46247,50.43235,,
1,611,0.03693,3042.509,1333.432,,
2,612,0.048351,474.4353,113.852,,
1,612,0.082268,1580.904,569.3937,,
1,619,0.16205,352.2947,657.4,,
2,619,0.17513,333.5201,1022.415,,
1,620,0.23004,10998.37,1715.301,,
2,620,0.97981,834.7455,838.6504,,
2,621,0.17672,722.1701,1713.247,,
1,621,0.015237,927.3126,1121.928,,
1,623,0.156,4720.104,581.5455,,
2,623,0.22535,2326.621,1214.727,,
2,707,0.49533,404.4156,259.4141,,
1,707,0.05452,761.6146,555.963,,
1,709,0.052821,629.6609,536.1295,,
2,709,0.056357,900.7747,1082.674,,
2,710,0.079906,350.0034,1027.289,,
1,710,0.05554,974.6336,292.0995,,
2,712,0.21363,1272.194,1237.275,,
1,712,0.023501,2490.375,1913.294,,
1,715,0.012209,8816.014,401.4892,,
2,715,0.58198,660.046,246.519,,
1,801,0.20192,2000.801,647.596,,
2,801,0.26722,338.3799,591.5128,,
2,803,0.021772,3043.547,318.323,,
1,803,0.026241,146.4633,154.7841,,
2,805,0.080202,833.7057,409.5319,,
1,805,0.097441,433.5248,663.0957,,
2,807,0.10404,1057.52,562.0562,,
1,807,0.11242,996.1964,128.7358,,
2,809,0.2522,1069.33,945.7068,,
1,809,0.26251,324.8072,340.2381,,
2,811,0.083451,3.571767,134.1349,,
1,811,0.16513,924.5732,284.7659,,
2,820,0.093835,107.7441,583.6176,,
1,820,0.022936,1116.548,1467.449,,
2,823,0.19848,430.821,289.9102,,
1,823,0.14233,1068.909,963.1205,,
1,901,0.076092,852.4804,964.5045,,
2,901,0.065396,128.5001,442.4792,,
1,902,0.066459,1755.565,1536.322,,
2,902,0.10494,1621.098,524.1002,,
2,903,0.02866,587.1752,1014.003,,
1,903,0.081965,948.493,526.8204,,
1,906,0.05521,5198.385,1663.372,,
2,906,0.11443,2022.352,2049.132,,
1,907,0.088145,2913.692,777.9057,,
2,907,0.070238,971.2083,932.4598,,
2,908,0.11755,577.8788,1441.495,,
1,908,0.18321,695.3259,893.996,,
2,909,0.30107,1184.318,775.5554,,
1,909,0.236,804.2159,413.1864,,
2,911,0.10782,622.7764,600.9789,,
1,911,0.14488,798.6011,596.5225,,
1,924,0.22601,1416.434,545.5665,,
2,924,0.45706,554.7419,417.8001,,
1,1001,0.021187,13550.84,1547.712,,
2,1001,0.021126,1394.062,303.6815,,
2,1002,0.093944,641.6242,587.3617,,
1,1002,0.26046,2851.611,2030.249,,
1,1003,0.17862,997.4542,1167.908,,
2,1003,0.13836,1934.599,1107.152,,
1,1007,0.16083,1923.699,1640.396,,
2,1007,0.093825,554.918,535.9315,,
1,1012,0.12738,1595.151,1485.576,,
2,1012,0.12405,1699.958,826.4811,,
1,1014,0.043208,613.7068,367.9909,,
2,1014,0.45281,911.7793,1011.501,,
2,1017,0.21503,1535.204,1037.151,,
1,1017,0.24734,2629.005,1675.837,,
2,1018,0.095435,260.2771,149.4123,,
1,1018,0.055834,5809.794,1768.981,,
2,1024,0.1518,352.9739,403.793,,
1,1024,0.097202,525.199,469.8494,,
2,1101,0.12803,328.8662,279.8519,,
1,1101,0.13679,0,1364.21,,
2,1104,0.10256,897.8102,78.06232,,
1,1104,0.044549,1447.841,595.7023,,
1,1105,0.15854,1600.504,2553.282,,
2,1105,0.070554,3329.076,1503.732,,
2,1106,0.028023,2152.474,941.3234,,
1,1106,0.029395,2802.949,2171.648,,
2,1108,0.023709,2888.671,568.5242,,
1,1108,0.095908,212.9744,370.621,,
2,1109,0.16713,687.7556,913.6197,,
1,1109,0.062892,492.6756,2129.098,,
1,1111,0.25351,3632.355,1096.057,,
2,1111,0.34234,506.0428,358.3354,,
1,1112,0.076708,2764.135,3454.953,,
2,1112,0.074624,1465.76,1028.556,,
2,1119,0.19355,801.4961,411.6784,,
1,1119,0.15633,1743.038,1189.497,,
2,1204,2.1616,294.12,150.522,,
1,1204,0.52077,1927.636,5400,,
2,1205,0.040812,1047.818,459.552,,
1,1205,0.11146,45.67878,230.6131,,
2,1207,0.12834,2154.308,851.5952,,
1,1207,0.2097,1374.818,1744.452,,
1,1209,0.14493,839.5718,1094.892,,
2,1209,0.085471,604.6324,325.43,,
1,1210,0.11726,571.9599,655.2671,,
2,1210,0.04124,71.75661,65.98934,,
1,1212,0.038055,395.774,667.1273,,
2,1212,0.025311,317.2757,275.0337,,
1,1218,0.056239,147.7849,1135.102,,
2,1218,0.043847,534.0882,357.8154,,
1,1302,0.065667,718.2766,754.983,,
2,1302,0.073902,673.9245,597.9897,,
2,1303,0.044774,1787.591,111.4192,,
1,1303,0.044986,11166.43,657.5233,,
2,1304,0.54978,781.3369,853.2063,,
1,1304,0.43484,958.9281,1330.489,,
2,1306,0.14387,498.2906,208.539,,
1,1306,0.26767,2352.543,1254.469,,
1,1307,0.091104,952.9603,623.9466,,
2,1307,0.18514,839.2078,1893.559,,
2,1308,0.046291,2005.465,1346.498,,
1,1308,0.060404,2568.317,690.3279,,
2,1309,0.040677,1458.704,470.1531,,
1,1309,0.024549,598.6962,17.67273,,
1,1312,0.34302,231.929,69.47046,,
2,1312,0.095362,897.2948,287.1816,,
2,1316,0.58313,74.09102,162.275,,
1,1316,0.618,1299.698,793.192,,
1,1319,0.039253,1808.414,592.0068,,
2,1319,0.055317,251.0667,172.8127,,
2,1401,0.40934,1240.88,444.7874,,
1,1401,0.94368,1334.696,143.0244,,
1,1402,0.42316,1713.138,1888.182,,
2,1402,0.49777,666.4421,705.7816,,
1,1404,0.24812,718.2146,640.2216,,
2,1404,0.008299,11947.42,1297.713,,
2,1407,0.1111,513.4944,1005.163,,
1,1407,0.089979,1475.791,1464.6,,
2,1408,0.05757,2765.393,1870.967,,
1,1408,0.016821,2111.938,1375.943,,
2,1409,0.053622,396.433,177.0344,,
1,1409,0.07502,2065.276,573.742,,
1,1410,0.077082,1668.427,1706.777,,
2,1410,0.02531,1270.873,558.7422,,
1,1412,0.010587,2347.548,287.0756,,
2,1412,0.053054,494.372,553.7131,,
2,1413,0.20721,1907.596,370.8588,,
1,1413,0.087209,11.73585,310.3313,,
2,1415,0.31245,332.014,871.4294,,
1,1415,0.05513,8601.252,2598.644,,
1,1501,0.087147,2248.179,858.2671,,
2,1501,0.17273,792.601,1362.703,,
2,1505,0.15631,787.1389,912.1781,,
1,1505,0.022939,405.4512,607.2579,,
2,1506,0.045937,303.5132,850.1144,,
1,1506,0.026998,560.0448,265.6568,,
2,1507,0.030013,250.6224,349.6452,,
1,1507,0.072366,991.8834,1840.456,,
2,1601,0.15905,698.595,426.4054,,
1,1601,0.044948,3478.903,683.8267,,
2,1602,0.043215,384.097,0,,
1,1602,0.037865,648.0372,1129.226,,
1,1605,0.055555,2334.049,2185.701,,
2,1605,0.05287,1344.954,830.0681,,
1,1606,0.038476,136.539,981.7316,,
2,1606,0.028148,1193.71,404.01,,
2,1607,0.07726,5170.833,365.4966,,
1,1607,0.099784,3395.509,342.146,,
1,1608,0.078907,1716.002,1144.834,,
2,1608,0.095656,634.5851,562.1985,,
